"4294967296","281470681743359","-","-","-","-","-","-","-","-"
"281470698619136","281470698619391","TH","Thailand","Khon Kaen","Khon Kaen","16.44671","102.833","40270","+07:00","66","043","166"
"281470698619392","281470698619647","TH","Thailand","Nong Khai","Nong Khai","17.87847","102.742","43110","+07:00","66","042","167"
"281470698619648","281470698619903","TH","Thailand","Nakhon Phanom","Si Songkhram","17.62745","104.2507","48150","+07:00","66","042","161"
"281470698619904","281470698620159","TH","Thailand","Nong Khai","Sa Khrai","17.67544","102.7507","43110","+07:00","66","042","173"
"281470698620160","281470698620415","TH","Thailand","Khon Kaen","Khon Kaen","16.44671","102.833","40270","+07:00","66","043","166"
"281470698620416","281470698620671","TH","Thailand","Nong Khai","Nong Khai","17.87847","102.742","43110","+07:00","66","042","167"
"281470698620672","281470698620927","TH","Thailand","Loei","Erawan","17.30181","101.95382","42240","+07:00","66","042","357"
"281470698620928","281470698621183","TH","Thailand","Nakhon Phanom","Pla Pak","17.18064","104.52606","48160","+07:00","66","042","163"
"281470698621184","281470698621439","TH","Thailand","Nakhon Phanom","Ban Phaeng","17.96507","104.21534","48140","+07:00","66","042","153"
"281470698621440","281470698621695","TH","Thailand","Nakhon Phanom","Si Songkhram","17.62745","104.2507","48150","+07:00","66","042","161"
"281470698621696","281470698621951","TH","Thailand","Nakhon Phanom","Nakhon Phanom","17.41081","104.77856","48000","+07:00","66","042","150"
"281470698621952","281470698622207","TH","Thailand","Pattani","Mayo","6.71864","101.40983","94000","+07:00","66","073","18"
"281470698622208","281470698622463","TH","Thailand","Chanthaburi","Khlung","12.45467","102.22142","22110","+07:00","66","039","7"
"281470698622464","281470698622719","TH","Thailand","Maha Sarakham","Wapi Pathum","15.84523","103.37678","44120","+07:00","66","043","146"
"281470698622720","281470698622975","TH","Thailand","Sukhothai","Si Samrong","17.164","99.86222","64120","+07:00","66","055","58"
"281470698622976","281470698623231","TH","Thailand","Nakhon Phanom","Si Songkhram","17.62745","104.2507","48150","+07:00","66","042","161"
"281470698623232","281470698623487","TH","Thailand","Udon Thani","Nong Han","17.36083","103.10533","41380","+07:00","66","042","173"
"281470698623488","281470698623743","TH","Thailand","Loei","Loei","17.49052","101.72749","42000","+07:00","66","042","245"
"281470698623744","281470698623999","TH","Thailand","Bueng Kan","Phon Charoen","18.0314","103.71","-","+07:00","66","042","166"
"281470698624000","281470698624767","TH","Thailand","Songkhla","Hat Yai","7.00836","100.47668","90110","+07:00","66","074","11"
"281470698624768","281470698625023","TH","Thailand","Narathiwat","Tak Bai","6.25947","102.05461","96110","+07:00","66","073","7"
"281470698625024","281470698625279","TH","Thailand","Surat Thani","Koh Tao","10.09808","99.83809","84280","+07:00","66","077","99"
"281470698625280","281470698625535","TH","Thailand","Phuket","Phuket","7.89059","98.3981","83120","+07:00","66","076","24"
"281470698625536","281470698625791","TH","Thailand","Phangnga","Kapong","8.69697","98.40914","82160","+07:00","66","076","27"
"281470698625792","281470698626047","TH","Thailand","Satun","Manang","6.99933","99.92161","91160","+07:00","66","074","32"
"281470698626048","281470698626303","TH","Thailand","Phuket","Phuket","7.89059","98.3981","83120","+07:00","66","076","24"
"281470698626304","281470698626559","TH","Thailand","Phangnga","Takua Thung","8.38373","98.45123","82130","+07:00","66","076","8"
"281470698626560","281470698626815","TH","Thailand","Surat Thani","Ko Samui","9.53567","99.93567","84140","+07:00","66","077","5"
"281470698626816","281470698627071","TH","Thailand","Satun","Manang","6.99933","99.92161","91160","+07:00","66","074","32"
"281470698627072","281470698627327","TH","Thailand","Nan","Pua","19.17503","100.91622","55120","+07:00","66","054","287"
"281470698627328","281470698627583","TH","Thailand","Nan","Na Muen","18.19","100.65847","55180","+07:00","66","054","363"
"281470698627584","281470698627839","TH","Thailand","Chiang Mai","San Pa Tong","18.62828","98.89572","50120","+07:00","66","053","300"
"281470698627840","281470698628095","TH","Thailand","Lamphun","Mae Tha","18.46456","99.14026","51140","+07:00","66","053","405"
"281470698628096","281470698628351","TH","Thailand","Chiang Mai","San Pa Tong","18.62828","98.89572","50120","+07:00","66","053","300"
"281470698628352","281470698628607","TH","Thailand","Chiang Mai","Pai","19.36168","98.43973","58130","+07:00","66","053","510"
"281470698628608","281470698629119","TH","Thailand","Lamphun","Lamphun","18.58054","99.00745","51000","+07:00","66","053","295"
"281470698629120","281470698629375","TH","Thailand","Chiang Rai","Chiang Rai","19.90858","99.8325","57000","+07:00","66","053","399"
